TP4,81.66,99.82,180.00,TPTP20R,TP20R
TP5,77.22,99.82,0.00,TPTP20R,TP20R
TP6,5.33,98.81,0.00,TPTP20R,TP20R
TP7,2.79,98.81,0.00,TPTP20R,TP20R
TP8,13.08,40.77,0.00,TPTP20R,TP20R
TP9,115.46,2.27,0.00,TPTP20R,TP20R
U1,138.43,53.34,0.00,MAX17048G+T10,SON50P200X200X80-9N
U2,15.95,53.35,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,85.09,54.61,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,40.64,52.07,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
